      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
127.5 -15.5	0.20	1309.59	1436.18	1483.76	0.973	2.65	8.24	41.93	2.25	195.23	3.98	8.16	37.55	3.36
128 -15.5	0.20	1309.4	1435.61	1483.44	0.9794	2.61	8.22	41.93	2.23	194.05	3.94	8.11	37.52	3.34
128.5 -15.5	0.20	1309.11	1435.1	1483.81	0.9771	2.66	8.26	41.91	2.25	192.63	3.99	8.2	37.48	3.32
129 -15.5	0.20	1307.6	1435.58	1483.95	0.9715	2.68	8.29	41.88	2.25	191.36	4.06	8.3	37.41	3.34
129.5 -15.5	0.20	1306.34	1434.33	1484.63	0.98	2.68	8.29	41.93	2.26	192.05	4.04	8.33	37.34	3.35
130 -15.5	0.20	1304.97	1433.19	1484.14	0.9672	2.67	8.28	41.94	2.27	193.99	4.05	8.34	37.33	3.36
130.5 -15.5	0.20	1302.66	1432.61	1482.63	0.9774	2.65	8.28	41.92	2.28	195.66	4.04	8.33	37.37	3.37
131 -15.5	0.20	1301.48	1431.15	1481.05	0.985	2.66	8.32	41.93	2.28	197.58	4.05	8.35	37.39	3.35
131.5 -15.5	0.20	1300.87	1429.98	1480.28	0.968	2.72	8.35	41.93	2.31	198.93	4.12	8.37	37.36	3.35
132 -15.5	0.20	1300.88	1429.02	1479.16	0.9765	2.72	8.38	41.94	2.33	199.76	4.1	8.35	37.34	3.34
132.5 -15.5	0.20	1299.94	1428.72	1478.18	0.9675	2.75	8.44	41.96	2.33	200.69	4.09	8.38	37.33	3.33
133 -15.5	0.20	1300.18	1429.77	1478.27	0.972	2.77	8.51	41.95	2.37	201.5	4.12	8.4	37.29	3.35
133.5 -15.5	0.20	1300.42	1429.7	1477.35	0.9859	2.78	8.55	41.97	2.43	201.64	4.12	8.37	37.26	3.36
134 -15.5	0.20	1300.27	1429.75	1477.85	0.9864	2.79	8.59	41.97	2.48	201.68	4.12	8.34	37.22	3.38
134.5 -15.5	0.20	1299.87	1430.1	1477.41	0.9795	2.81	8.66	41.97	2.49	201.24	4.13	8.33	37.21	3.37
135 -15.5	0.20	1300.85	1429.02	1478	0.9682	2.81	8.71	42.03	2.48	199.66	4.18	8.29	37.23	3.4
135.5 -15.5	0.20	1300.88	1429.17	1478.36	0.9732	2.81	8.7	42.03	2.45	196.74	4.14	8.21	37.26	3.42
136 -15.5	0.20	1301.51	1427.82	1479.17	0.9802	2.77	8.63	41.99	2.42	191.71	4.1	8.11	37.3	3.37
136.5 -15.5	0.20	1300.69	1426.25	1478.54	0.9808	2.74	8.58	42.01	2.4	185.77	4.06	8.04	37.36	3.35
137 -15.5	0.20	1300.13	1424.85	1478	0.966	2.73	8.59	41.98	2.39	178.21	4.08	8.09	37.33	3.37
