      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
127.5 -15.5	0.00	13.21	12.86	17.47	0.0139	0.24	0.34	0.5	0.34	4.54	0.26	0.3	0.52	0.3
128 -15.5	0.00	12.72	11.79	16.75	0.0132	0.24	0.3	0.46	0.32	4.05	0.25	0.27	0.46	0.3
128.5 -15.5	0.00	11.93	11.53	15.23	0.0136	0.23	0.29	0.4	0.32	2.9	0.23	0.24	0.45	0.29
129 -15.5	0.00	11.38	11.81	15.45	0.013	0.21	0.27	0.4	0.31	2.16	0.22	0.24	0.47	0.28
129.5 -15.5	0.00	10.97	11.71	14.73	0.0122	0.22	0.25	0.41	0.31	2.54	0.21	0.24	0.46	0.29
130 -15.5	0.00	11.11	11.68	14.17	0.0135	0.23	0.25	0.4	0.32	3.03	0.22	0.24	0.45	0.28
130.5 -15.5	0.00	11.49	11.66	13.23	0.0131	0.22	0.26	0.4	0.31	3.44	0.22	0.24	0.46	0.27
131 -15.5	0.00	11.14	11.7	13.43	0.0111	0.22	0.26	0.37	0.32	3.42	0.22	0.23	0.48	0.28
131.5 -15.5	0.00	10.85	11.89	12.58	0.0124	0.21	0.25	0.4	0.32	3.58	0.2	0.23	0.45	0.28
132 -15.5	0.00	11.08	11.77	12.63	0.0121	0.2	0.25	0.4	0.33	3.58	0.21	0.24	0.45	0.28
132.5 -15.5	0.00	11.17	11.73	12.07	0.0119	0.19	0.26	0.38	0.31	3.62	0.21	0.23	0.46	0.29
133 -15.5	0.00	11.53	11.4	12.93	0.0143	0.2	0.24	0.38	0.31	4.02	0.2	0.22	0.42	0.27
133.5 -15.5	0.00	11.2	11.04	11.77	0.011	0.18	0.22	0.37	0.32	3.74	0.2	0.22	0.42	0.27
134 -15.5	0.00	11.36	11.08	11.53	0.0111	0.18	0.21	0.37	0.31	3.5	0.2	0.23	0.42	0.28
134.5 -15.5	0.00	11.06	11.74	10.89	0.0119	0.17	0.23	0.38	0.31	3.25	0.2	0.22	0.41	0.27
135 -15.5	0.00	10.52	11.93	11.65	0.0113	0.18	0.2	0.37	0.31	3.55	0.19	0.22	0.44	0.27
135.5 -15.5	0.00	11.72	12.07	11.52	0.0119	0.18	0.19	0.36	0.32	3.4	0.19	0.21	0.46	0.27
136 -15.5	0.00	11.52	12.6	11.46	0.0142	0.19	0.21	0.36	0.29	3.51	0.19	0.23	0.46	0.27
136.5 -15.5	0.00	12.16	13.11	11.99	0.0134	0.2	0.21	0.41	0.31	2.83	0.21	0.24	0.44	0.27
137 -15.5	0.00	11.73	12.43	11.59	0.0143	0.2	0.22	0.38	0.32	2.09	0.19	0.23	0.44	0.28
137.5 -15.5	0.00	11.78	11.35	12.21	0.0116	0.2	0.19	0.35	0.3	1.45	0.18	0.23	0.49	0.27
138 -15.5	0.00	11.2	10.12	13.44	0.0159	0.21	0.22	0.35	0.29	1.46	0.19	0.25	0.44	0.28
138.5 -15.5	0.00	11.01	10.26	12.36	0.0109	0.21	0.23	0.39	0.31	2.29	0.19	0.23	0.44	0.28
139 -15.5	0.00	11.12	10.21	11.77	0.0115	0.22	0.23	0.42	0.32	2.9	0.2	0.23	0.48	0.27
139.5 -15.5	0.00	10.66	10.09	12.45	0.014	0.23	0.22	0.41	0.33	3.32	0.19	0.22	0.49	0.27
140 -15.5	0.00	11.03	9.85	12.46	0.0142	0.23	0.22	0.43	0.32	3.42	0.19	0.21	0.51	0.26
140.5 -15.5	0.00	10.78	9.9	12.19	0.0146	0.23	0.23	0.43	0.34	3.65	0.19	0.21	0.52	0.28
141 -15.5	0.00	11.02	9.87	11.43	0.0133	0.23	0.23	0.43	0.31	3.47	0.21	0.24	0.51	0.28
141.5 -15.5	0.00	10.97	10.34	11.3	0.011	0.24	0.23	0.42	0.32	3.38	0.22	0.22	0.5	0.27
142 -15.5	0.00	11.22	11	11.28	0.0149	0.22	0.23	0.42	0.32	3.19	0.2	0.22	0.47	0.27
142.5 -15.5	0.00	12.26	11.25	11.9	0.0151	0.22	0.24	0.45	0.33	2.96	0.21	0.24	0.47	0.3
143 -15.5	0.00	13.04	11.12	12.55	0.0092	0.24	0.24	0.49	0.34	2.12	0.23	0.26	0.51	0.29
127.5 -16	0.00	11.94	11.74	16.77	0.0132	0.22	0.3	0.44	0.31	4.48	0.25	0.28	0.46	0.3
128 -16	0.00	11.96	11.1	15.25	0.0119	0.22	0.29	0.38	0.3	4	0.23	0.27	0.48	0.3
128.5 -16	0.00	11.11	11.34	14.76	0.0096	0.21	0.27	0.39	0.3	3.6	0.23	0.24	0.45	0.28
129 -16	0.00	10.6	10.54	14.79	0.0131	0.19	0.26	0.38	0.31	2.82	0.21	0.24	0.44	0.27
129.5 -16	0.00	10.37	10.69	14.08	0.0156	0.2	0.24	0.4	0.3	2.66	0.19	0.23	0.45	0.27
130 -16	0.00	10.88	11.02	14.07	0.0129	0.21	0.24	0.38	0.31	2.97	0.2	0.23	0.45	0.29
130.5 -16	0.00	10.56	11.37	12.92	0.0086	0.21	0.23	0.38	0.31	3.08	0.21	0.21	0.41	0.27
131 -16	0.00	10.73	10.51	13.76	0.0141	0.21	0.24	0.36	0.3	3.41	0.21	0.24	0.42	0.27
131.5 -16	0.00	10.98	11.32	12.88	0.0108	0.19	0.24	0.35	0.31	3.3	0.19	0.22	0.44	0.26
132 -16	0.00	10.48	10.95	11.86	0.0113	0.21	0.25	0.35	0.31	3.32	0.21	0.23	0.44	0.26
132.5 -16	0.00	10.22	11.14	12.25	0.0085	0.19	0.25	0.37	0.32	3.37	0.19	0.22	0.4	0.27
133 -16	0.00	10.7	11.56	11.58	0.0139	0.19	0.24	0.39	0.3	3.62	0.19	0.21	0.41	0.27
133.5 -16	0.00	10.9	10.15	10.99	0.0113	0.19	0.22	0.35	0.28	3.26	0.2	0.22	0.4	0.27
134 -16	0.00	10.67	10.27	10.48	0.0158	0.17	0.21	0.37	0.29	3.38	0.19	0.21	0.42	0.27
134.5 -16	0.00	11.2	10.43	10.04	0.0076	0.14	0.19	0.32	0.31	3.2	0.18	0.19	0.39	0.26
135 -16	0.00	9.69	10.44	10.88	0.0127	0.16	0.18	0.32	0.31	2.96	0.17	0.19	0.39	0.26
135.5 -16	0.00	11.08	11.62	10.36	0.0162	0.17	0.19	0.37	0.3	3.53	0.18	0.2	0.43	0.29
136 -16	0.00	11.06	11.57	10.77	0.01	0.19	0.19	0.31	0.27	3.23	0.17	0.21	0.42	0.26
136.5 -16	0.00	10.63	12.01	10.37	0.0065	0.17	0.21	0.37	0.3	3.17	0.18	0.22	0.46	0.26
137 -16	0.00	10.61	12.71	12.29	0.014	0.19	0.23	0.35	0.3	2.84	0.19	0.22	0.45	0.29
137.5 -16	0.00	11.23	10.56	12.52	0.0135	0.17	0.21	0.35	0.29	2.38	0.17	0.23	0.42	0.27
138 -16	0.00	10.85	10.35	13.02	0.0105	0.2	0.2	0.36	0.29	1.9	0.18	0.23	0.43	0.24
138.5 -16	0.00	10.65	9.64	12.15	0.0151	0.2	0.22	0.37	0.29	2.33	0.19	0.22	0.41	0.27
139 -16	0.00	10.8	9.95	11.74	0.0111	0.2	0.21	0.37	0.29	2.84	0.19	0.21	0.46	0.27
139.5 -16	0.00	10.44	9.71	11.52	0.0135	0.22	0.22	0.4	0.3	3.49	0.19	0.22	0.5	0.26
140 -16	0.00	10.15	9.59	11.44	0.0128	0.2	0.22	0.4	0.3	3.29	0.19	0.22	0.49	0.26
140.5 -16	0.00	10.12	9.19	11.03	0.0096	0.21	0.23	0.42	0.3	3.38	0.19	0.2	0.5	0.26
141 -16	0.00	10.75	9.48	11.13	0.0143	0.22	0.22	0.42	0.31	3.5	0.2	0.22	0.46	0.27
141.5 -16	0.00	11.12	9.61	10.85	0.0089	0.21	0.22	0.4	0.31	3.28	0.19	0.23	0.45	0.28
142 -16	0.00	11.03	10.03	10.47	0.0112	0.22	0.22	0.42	0.3	3.15	0.19	0.23	0.46	0.28
142.5 -16	0.00	11.62	9.86	11.18	0.0105	0.21	0.22	0.44	0.31	2.73	0.2	0.21	0.43	0.28
143 -16	0.00	11.94	10.26	11.19	0.0084	0.23	0.23	0.45	0.31	2.1	0.22	0.23	0.45	0.26
127.5 -16.5	0.00	11.57	11.18	16.03	0.0091	0.22	0.27	0.41	0.31	4.12	0.23	0.27	0.44	0.3
128 -16.5	0.00	11.66	10.4	14.28	0.0125	0.2	0.26	0.38	0.3	4.21	0.23	0.26	0.46	0.28
128.5 -16.5	0.00	11.52	10.75	13.97	0.0144	0.2	0.26	0.36	0.3	3.62	0.21	0.24	0.45	0.28
129 -16.5	0.00	10.55	10.64	13.84	0.0124	0.2	0.25	0.36	0.29	3.35	0.2	0.23	0.42	0.27
129.5 -16.5	0.00	10.01	10.65	13.43	0.0127	0.18	0.24	0.39	0.31	2.79	0.2	0.21	0.42	0.27
130 -16.5	0.00	9.73	10.87	13.55	0.012	0.21	0.24	0.39	0.3	2.91	0.19	0.22	0.42	0.28
130.5 -16.5	0.00	10.58	10.47	12.72	0.0149	0.21	0.24	0.36	0.31	3.09	0.2	0.22	0.4	0.26
131 -16.5	0.00	10.68	10.88	13.36	0.0061	0.2	0.24	0.38	0.31	3.19	0.2	0.21	0.4	0.25
131.5 -16.5	0.00	10.72	10.49	13.23	0.0062	0.19	0.23	0.35	0.31	3.25	0.18	0.22	0.41	0.27
132 -16.5	0.00	10.55	10.51	12.87	0.0156	0.21	0.23	0.36	0.32	3.22	0.2	0.22	0.4	0.27
132.5 -16.5	0.00	10.33	10.54	12.33	0.0129	0.21	0.24	0.39	0.31	3.31	0.2	0.21	0.42	0.28
133 -16.5	0.00	9.48	10.76	10.98	0.0043	0.18	0.23	0.37	0.29	2.87	0.2	0.2	0.39	0.26
133.5 -16.5	0.00	10.95	11.32	10.65	0.0165	0.18	0.24	0.36	0.31	3.01	0.19	0.21	0.38	0.26
134 -16.5	0.00	10.76	8.84	10.17	0.0165	0.18	0.22	0.34	0.3	2.72	0.19	0.18	0.4	0.24
134.5 -16.5	0.00	10.12	9.29	10.38	0.0083	0.16	0.21	0.28	0.29	3.35	0.18	0.22	0.44	0.25
135 -16.5	0.00	9.97	10.46	11.42	0.0063	0.14	0.17	0.29	0.28	3.94	0.17	0.18	0.4	0.25
135.5 -16.5	0.00	8.58	11.02	9.78	0.0194	0.18	0.19	0.29	0.29	3.79	0.17	0.2	0.42	0.27
136 -16.5	0.00	9.69	11.94	10.64	0.0062	0.18	0.19	0.34	0.25	3.75	0.18	0.21	0.42	0.26
136.5 -16.5	0.00	10.79	11.24	10.19	0.0173	0.18	0.21	0.35	0.29	3.82	0.17	0.21	0.42	0.24
137 -16.5	0.00	10.94	11.76	11.38	0.0048	0.19	0.22	0.34	0.3	3.48	0.18	0.21	0.45	0.23
137.5 -16.5	0.00	11.91	10.76	12.03	0.0121	0.18	0.21	0.35	0.29	3.25	0.18	0.2	0.42	0.25
138 -16.5	0.00	10.52	10.01	11.92	0.0128	0.19	0.21	0.33	0.29	2.81	0.18	0.19	0.41	0.23
138.5 -16.5	0.00	10.52	9.2	12.11	0.014	0.2	0.2	0.33	0.27	2.41	0.19	0.2	0.42	0.27
139 -16.5	0.00	10.1	9.12	10.91	0.0117	0.2	0.21	0.34	0.31	2.96	0.18	0.22	0.45	0.24
139.5 -16.5	0.00	9.78	8.65	11.2	0.0122	0.21	0.2	0.36	0.27	3.22	0.19	0.2	0.46	0.27
140 -16.5	0.00	10.42	8.77	10.69	0.0102	0.2	0.21	0.38	0.27	3.3	0.21	0.21	0.49	0.25
140.5 -16.5	0.00	10.37	9.37	10.54	0.014	0.21	0.22	0.4	0.28	3.49	0.19	0.21	0.48	0.27
141 -16.5	0.00	10.87	9.23	10.79	0.0144	0.21	0.22	0.43	0.3	3.19	0.19	0.21	0.47	0.26
141.5 -16.5	0.00	10.61	9.16	10.54	0.0144	0.21	0.22	0.41	0.3	3.27	0.19	0.21	0.45	0.26
142 -16.5	0.00	10.24	9.19	10.89	0.0131	0.21	0.22	0.41	0.32	3.17	0.2	0.21	0.44	0.28
142.5 -16.5	0.00	10.58	10.01	10.99	0.0127	0.22	0.22	0.41	0.32	2.76	0.22	0.23	0.4	0.28
143 -16.5	0.00	10.84	9.87	11.85	0.0115	0.24	0.23	0.44	0.33	1.95	0.22	0.23	0.41	0.29
127.5 -17	0.00	11.98	11.3	15.94	0.0137	0.2	0.26	0.39	0.31	4.47	0.23	0.24	0.45	0.29
128 -17	0.00	11.53	10.91	15.17	0.0122	0.2	0.26	0.36	0.28	4.05	0.22	0.22	0.39	0.28
128.5 -17	0.00	10.82	10.88	14.43	0.0151	0.19	0.26	0.36	0.3	3.82	0.22	0.23	0.41	0.26
129 -17	0.00	10.25	10.33	13.29	0.0127	0.19	0.25	0.37	0.3	3.68	0.21	0.22	0.4	0.27
129.5 -17	0.00	10.07	11.05	12.53	0.0132	0.21	0.25	0.36	0.31	3.02	0.19	0.23	0.43	0.25
130 -17	0.00	9.39	10.63	12.59	0.0115	0.19	0.23	0.36	0.31	2.9	0.2	0.22	0.4	0.26
130.5 -17	0.00	10.02	10.69	11.85	0.0131	0.2	0.23	0.36	0.3	2.76	0.19	0.21	0.4	0.27
131 -17	0.00	10.4	10.64	12.18	0.0128	0.2	0.23	0.36	0.3	2.96	0.19	0.21	0.43	0.26
131.5 -17	0.00	10.7	10.97	12.29	0.0112	0.19	0.23	0.34	0.31	3.04	0.18	0.22	0.39	0.25
132 -17	0.00	9.97	10.44	12.23	0.0129	0.2	0.24	0.36	0.3	3.21	0.19	0.21	0.41	0.26
132.5 -17	0.00	10.33	9.99	12.63	0.0079	0.2	0.24	0.35	0.28	2.9	0.21	0.21	0.42	0.26
