      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      MLD  Al_1  Fe_1  Mg_1  Ca_1      LAB  Al_2  Fe_2  Mg_2  Ca_2 
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%  
-99 71	0.00	34.37	45.9	53.58	0.0131	0.23	0.26	0.8	0.35	4.32	0.25	0.29	1.02	0.36	6.08	0.19	0.41	1.27	0.39
-98 71	0.00	52.85	38.84	57	0.0109	0.42	0.31	1.58	0.28	2.54	0.24	0.16	1.21	0.39	8.87	0.15	0.35	0.95	0.33
-97 71	0.00	45.63	48.68	53.46	0.0109	0.53	0.44	1.4	0.34	5.98	0.32	0.46	1.64	0.63	10.55	0.22	0.33	0.74	0.23
-96 71	0.00	18.4	57.49	29.55	0.0049	0.36	0.29	1.45	0.27	6.58	0.22	0.3	1.35	0.44	10.23	0.26	0.22	0.89	0.28
-95 71	0.00	36.95	33.27	22.12	0.0103	0.26	0.24	1.12	0.29	5.39	0.29	0.17	1.64	0.53	5.85	0.17	0.29	0.74	0.46
-94 71	0.00	64.64	41.81	36.42	0.0039	0.56	0.34	1.04	0.31	5.08	0.23	0.25	0.95	0.29	8.9	0.2	0.32	0.69	0.38
-93 71	0.00	38.09	35.13	38.26	0.0076	0.23	0.23	1.11	0.26	3.71	0.29	0.23	1.57	0.57	7.37	0.19	0.43	1.57	0.34
-92 71	0.00	57.26	51.85	32.4	0.0086	0.44	0.39	1.87	0.32	4.7	0.29	0.33	1.64	0.44	9.57	0.26	0.21	1.08	0.37
-91 71	0.00	51.13	62.45	44.86	0.0124	0.55	0.25	1.01	0.55	5.77	0.29	0.19	0.97	0.41	10.63	0.28	0.16	1.2	0.44
-90 71	0.00	60.85	35.25	28.4	0.0061	0.28	0.36	1.47	0.22	4.33	0.18	0.31	1.52	0.37	6.87	0.26	0.23	1.4	0.22
-89 71	0.00	64.06	31.5	36.99	0.0068	0.24	0.27	1.09	0.65	3.75	0.31	0.22	0.95	0.47	6.43	0.16	0.23	1.16	0.42
-88 71	0.00	33.99	27.22	58.59	0.0058	0.57	0.24	1.35	0.36	6.37	0.13	0.17	1.26	0.23	11.6	0.11	0.28	1.3	0.37
-87 71	0.00	55.3	22.55	60.29	0.012	0.23	0.15	1.06	0.36	6.85	0.26	0.16	1.48	0.26	10.6	0.22	0.25	0.99	0.42
-86 71	0.00	49.54	61.91	55.49	0.0075	0.29	0.25	1	0.42	5.48	0.26	0.39	1.26	0.44	9.91	0.18	0.62	1.07	0.4
-85 71	0.00	23.39	55.64	41.87	0.0128	0.25	0.22	0.89	0.28	5.47	0.3	0.2	1.44	0.29	5.34	0.22	0.23	0.78	0.52
-84 71	0.00	30.74	24.86	40.94	0.0099	0.17	0.23	0.93	0.55	6.98	0.22	0.16	0.84	0.44	7.09	0.25	0.49	1.08	0.25
-83 71	0.00	32.73	30.48	49	0.009	0.32	0.31	1.8	0.37	4.45	0.22	0.22	0.71	0.2	8.41	0.17	0.17	1.09	0.18
-82 71	0.00	41.55	41.25	34.22	0.0091	0.4	0.28	1.13	0.35	2.89	0.22	0.2	0.97	0.53	11.07	0.22	0.4	0.89	0.27
-81 71	0.00	21.67	62.67	51.95	0.0091	0.36	0.36	1.2	0.31	4.61	0.23	0.38	1.21	0.36	7.13	0.15	0.36	0.49	0.45
-80 71	0.00	40.28	22.81	42.33	0.0141	0.44	0.35	1.22	0.49	4.23	0.32	0.21	1.79	0.41	10.45	0.19	0.3	0.56	0.33
-79 71	0.00	47.9	48.98	68.4	0.0102	0.23	0.3	0.82	0.2	5.71	0.23	0.34	1.27	0.39	6.45	0.24	0.35	1.75	0.45
-78 71	0.00	35.09	40.44	57.54	0.0096	0.45	0.36	1.7	0.77	5.65	0.17	0.3	1.36	0.35	11.21	0.16	0.45	0.97	0.29
-77 71	0.00	31.62	26.54	44.67	0.0114	0.3	0.15	0.87	0.16	4.68	0.21	0.33	1.27	0.33	7.56	0.28	0.33	1.75	0.27
-76 71	0.00	51.8	55.59	62.7	0.0115	0.28	0.32	0.86	0.24	6.27	0.19	0.47	1.54	0.2	4.9	0.29	0.43	0.79	0.5
-75 71	0.00	27.78	56.42	24.97	0.0052	0.3	0.54	0.61	0.25	5.33	0.24	0.25	1.36	0.23	8.59	0.24	0.37	1.11	0.47
-74 71	0.00	47.87	35.12	59.16	0.007	0.66	0.32	1.93	0.62	2.6	0.21	0.37	1.3	0.45	8.83	0.19	0.19	1.65	0.56
-73 71	0.00	30.09	36.43	51.25	0.0056	0.52	0.16	1.75	0.34	6.85	0.24	0.21	0.7	0.44	9.39	0.22	0.34	1.16	0.3
-72 71	0.00	43.94	48.08	38.78	0.008	0.29	0.39	1.31	0.24	3.66	0.26	0.28	1.21	0.49	6.31	0.22	0.28	1.56	0.44
-71 71	0.00	43.53	59.11	43.1	0.005	0.39	0.22	1.1	0.44	2.92	0.21	0.21	0.88	0.21	7.71	0.15	0.42	0.81	0.5
-70 71	0.00	54.6	38.12	28.64	0.0048	0.31	0.37	1.2	0.14	6.65	0.26	0.34	1.03	0.41	7.58	0.17	0.22	0.93	0.53
-69 71	0.00	44.2	37.6	34.95	0.008	0.38	0.23	1.42	0.35	5.02	0.2	0.19	1.19	0.43	9.17	0.29	0.28	1.23	0.26
-68 71	0.00	49.5	37.26	54.13	0.0093	0.34	0.25	0.98	0.36	3.77	0.24	0.24	1.16	0.39	7.57	0.31	0.21	0.98	0.29
-67 71	0.00	12.56	27.87	39.41	0.0053	0.16	0.1	0.47	0.27	2.79	0.16	0.21	1.28	0.17	5.42	0.09	0.14	0.36	0.27
-66 71	0.00	24.64	20.33	40.07	0.0036	0.28	0.15	0.91	0.31	2.11	0.21	0.17	0.31	0.67	3.42	0.21	0.24	0.3	0.17
-65 71	0.00	22.33	16.56	33.86	0.0083	0.42	0.06	0.48	0.24	2.22	0.23	0.38	1.06	0.39	3.94	0.09	0.12	0.62	0.2
-64 71	0.00	24.37	29.98	23.85	0.0041	0.18	0.09	0.35	0.13	1.41	0.17	0.19	0.22	0.36	3.38	0.19	0.09	0.62	0.17
-63 71	0.00	33.23	58.16	28.91	0.003	0.37	0.11	0.42	0.14	2.36	0.24	0.27	1.11	0.32	6.15	0.11	0.16	0.82	0.16
-62 71	0.00	12.86	45.67	49.01	0.0051	0.21	0.16	0.43	0.21	3.26	0.35	0.49	1.1	0.57	9.29	0.17	0.11	0.5	0.23
-61 71	0.00	24.02	23.08	30.28	0.0045	0.29	0.12	0.39	0.31	2.61	0.22	0.22	1.25	0.33	5.13	0.07	0.14	0.47	0.45
-60 71	0.00	31.27	22.01	23.42	0.0063	0.56	0.11	1.12	0.57	1.75	0.2	0.48	1.14	0.43	8.34	0.08	0.14	1.13	0.21
-59 71	0.00	35.22	28.05	41.48	0.0048	0.31	0.24	1.05	0.32	2.15	0.25	0.61	1.05	0.27	6.37	0.1	0.25	1.33	0.34
-99 70.5	0.00	24.32	29.52	20.86	0.0114	0.37	0.22	1.85	0.41	5.25	0.29	0.13	1.62	0.32	9.8	0.15	0.22	0.94	0.28
-98 70.5	0.00	35.69	40.01	33.91	0.0075	0.28	0.54	1.49	0.51	5.66	0.24	0.17	1.35	0.35	9.04	0.25	0.18	0.91	0.26
-97 70.5	0.00	42.75	53.01	40.86	0.0103	0.27	0.58	0.7	0.21	4.89	0.18	0.33	0.9	0.23	11.52	0.34	0.22	1.32	0.21
-96 70.5	0.00	45.52	20.3	53.82	0.0144	0.26	0.34	0.82	0.21	4.56	0.17	0.22	1.36	0.38	5.28	0.16	0.23	1.13	0.46
-95 70.5	0.00	56.39	35.06	65.11	0.0084	0.17	0.29	1.21	0.3	4.39	0.27	0.38	0.68	0.49	7.01	0.18	0.25	1.27	0.39
-94 70.5	0.00	52.95	31.28	45.6	0.0156	0.29	0.17	1	0.43	5.38	0.2	0.25	1.06	0.43	4.55	0.14	0.16	1.17	0.19
-93 70.5	0.00	29.18	30.01	21.39	0.0076	0.16	0.15	0.93	0.18	3.16	0.18	0.42	0.87	0.23	6.88	0.18	0.13	0.98	0.55
-92 70.5	0.00	45.21	27.43	35.83	0.0098	0.21	0.3	0.7	0.3	5.31	0.34	0.53	1.38	0.22	8.59	0.11	0.24	1.08	0.52
-91 70.5	0.00	43.67	29.14	23.66	0.0108	0.26	0.4	0.67	0.3	3.06	0.22	0.18	1.37	0.32	9.02	0.15	0.2	0.56	0.4
-90 70.5	0.00	18.51	37.47	38.81	0.0083	0.24	0.22	1.14	0.22	5.41	0.28	0.41	1.41	0.46	7.32	0.3	0.19	1.04	0.37
-89 70.5	0.00	53.28	52.57	48.96	0.0105	0.23	0.51	1.05	0.31	6.61	0.33	0.35	1.25	0.52	6.95	0.22	0.34	0.93	0.37
-88 70.5	0.00	48.86	22.66	57.46	0.0078	0.41	0.17	0.91	0.34	6.66	0.24	0.45	1.39	0.4	12.01	0.17	0.24	0.86	0.36
-87 70.5	0.00	60.77	46.07	16.95	0.0122	0.56	0.48	2.28	0.62	4.29	0.18	0.39	1.46	0.45	7.69	0.27	0.28	0.63	0.26
-86 70.5	0.00	27.08	27.81	33.49	0.0111	0.36	0.29	0.82	0.34	5.19	0.14	0.21	1.7	0.17	8.68	0.33	0.45	0.93	0.5
-85 70.5	0.00	35.02	24.92	41.88	0.0098	0.4	0.36	1.35	0.42	5.94	0.18	0.54	1.07	0.21	7.53	0.15	0.25	1.08	0.29
-84 70.5	0.00	41.67	42.75	29.58	0.0067	0.18	0.53	0.74	0.15	5.74	0.16	0.25	0.96	0.26	8.31	0.22	0.21	1.14	0.47
-83 70.5	0.00	44.47	50.31	57.84	0.0053	0.44	0.17	1.87	0.49	5.62	0.28	0.35	0.74	0.37	4.34	0.14	0.49	0.96	0.31
