 Gravity reference column structure
19 - the number of layers in the model
.00 - elevation (m) at the top of the column, should be 0.0
 Layer_bottom Dens_top Dens_bot
 m            kg/m3    kg/m3
   -3100.00 2278.33 2670.00
  -13300.00 2798.49 2798.24
  -33774.17 2916.95 2918.44
  -34000.00 3339.18 3339.18
  -45600.00 3339.18 3341.34
  -57200.00 3341.34 3343.51
  -68800.00 3343.51 3345.74
  -80400.00 3345.74 3347.39
  -92000.00 3347.39 3349.88
 -103600.00 3349.88 3352.47
 -115200.00 3352.47 3354.99
 -126800.00 3354.99 3358.00
 -138400.00 3358.00 3360.86
 -150000.00 3360.86 3363.86
 -188666.67 3363.28 3425.38
 -236500.00 3425.38 3464.24
 -284333.33 3464.24 3503.46
 -332166.67 3503.46 3548.23
 -380000.00 3548.23 3600.80
 
