      Lon      Lat     Elev   Uncert      SHF   Uncert    Geoid   Uncert  Bouguer   Uncert  FreeAir   Uncert
      deg      deg        m        m    mW/m2    mW/m2        m        m     mGal     mGal     mGal     mGal
   -10.00   -10.00  1495.81   255.51    81.98    42.38     6.36     1.40  -155.70    14.20    18.69     7.75
    -9.00   -10.00  1672.03   241.08   193.32    57.81     6.98     1.40  -163.37     7.48    24.67     7.13
    -8.00   -10.00  1980.55   272.86   135.70    41.58     7.76     1.40  -202.46    12.16    23.67    18.44
    -7.00   -10.00  2365.49   266.85    85.82     6.41     8.41     1.40  -240.91    16.93    32.79    23.47
    -6.00   -10.00  2359.04   395.71    59.40     9.37     8.24     1.88  -235.53    25.20    29.67    45.74
    -5.00   -10.00  2077.61   308.46    53.37     5.19     7.62     1.40  -205.86    16.97    21.47    26.88
    -4.00   -10.00  2031.95   161.83    59.91     4.00     7.60     1.40  -192.60    22.51    27.04    14.47
    -3.00   -10.00  1972.38   242.26    63.59    12.99     8.12     1.40  -188.66    26.38    31.53    19.54
    -2.00   -10.00  1847.67   341.84    66.21    23.84     8.10     1.40  -159.57    12.63    45.76    31.49
    -1.00   -10.00  1460.78   104.82    61.96    14.93     6.39     1.40  -135.34    15.82    24.62    18.01
     0.00   -10.00  1292.42   127.08    93.72    14.95     4.62     1.40  -140.30    15.48     3.50    11.02
     1.00   -10.00  1165.42    58.70    75.48    10.25     4.32     1.40  -106.44    10.90    21.98     8.06
     2.00   -10.00  1045.26    74.21    54.76     4.00     3.70     1.40   -92.13     7.18    27.69     5.48
     3.00   -10.00   863.16    59.11    66.78     6.96     2.36     1.40   -84.28     6.77    13.85     3.86
   -10.00    -9.00  1533.61   304.50   100.48    23.37     4.79     1.40  -161.41    12.96    11.22    12.52
    -9.00    -9.00  1383.06   164.50    95.82    14.54     4.56     1.40  -165.35    11.06    -4.30    10.61
    -8.00    -9.00  2016.50   317.47    77.48    12.07     5.32     1.40  -224.00    17.79     5.09    10.55
    -7.00    -9.00  2169.36   175.31    70.78     8.45     6.08     1.40  -232.19     6.52    11.07    30.88
    -6.00    -9.00  2058.74   149.31    63.88    11.53     5.87     1.40  -228.40    10.43     5.65    23.97
    -5.00    -9.00  2121.04    98.26    52.82     6.38     5.60     1.40  -238.60    12.91     6.16    19.10
    -4.00    -9.00  2170.34   190.31    49.72     8.26     6.51     1.40  -229.57    15.85    14.51    26.31
    -3.00    -9.00  2383.01   325.89    58.44    15.93     8.40     1.40  -216.36    16.46    45.79    34.16
    -2.00    -9.00  2158.31   194.64    42.62    15.86     8.39     1.40  -178.50    18.84    67.36    17.11
    -1.00    -9.00  1626.27   185.75    47.52    10.19     4.36     1.40  -185.31    13.12     0.17    15.01
     0.00    -9.00  1354.80   122.11    54.89    10.56     2.50     1.40  -160.33    12.36    -7.89     9.84
     1.00    -9.00  1177.08    61.87    71.72     6.86     2.29     1.40  -121.34     8.67     7.14     7.86
     2.00    -9.00  1055.40    70.27    59.67     6.54     1.92     1.40  -107.75     4.62    13.46     9.38
     3.00    -9.00   901.60    50.30    63.94     5.15     1.27     1.40   -93.10    10.53    11.50     5.04
   -10.00    -8.00  1346.07   136.78   105.24    26.11     3.12     1.40  -153.90     9.41    -5.92     4.13
    -9.00    -8.00  1563.69   306.09   109.16    16.38     3.57     1.40  -179.43    14.36     2.01     6.53
    -8.00    -8.00  2077.66   493.19    82.84    22.76     4.88     1.40  -223.41    12.05    12.14    19.87
    -7.00    -8.00  2559.14   577.64    59.89     6.79     6.14     1.84  -242.05     3.63    53.84    55.82
    -6.00    -8.00  1999.94   493.86    64.18     5.30     4.74     1.65  -224.92     9.96     4.43    47.33
    -5.00    -8.00  1985.19   192.81    71.28     5.16     4.43     1.40  -236.00    11.50    -3.66    20.70
    -4.00    -8.00  2289.62   340.66    71.29     7.03     6.16     1.40  -234.83    10.64    25.19    32.23
    -3.00    -8.00  2666.92   269.20    89.48    14.83     8.22     1.40  -245.57    17.09    53.91    19.26
    -2.00    -8.00  2448.73   613.38    87.19    13.16     7.14     1.75  -214.20    20.15    56.37    37.56
    -1.00    -8.00  1519.78   100.92    88.33    10.80     2.59     1.40  -187.45    12.73   -20.80    16.77
     0.00    -8.00  1361.37    83.81    66.77     7.77     1.46     1.40  -150.56     9.46     1.81     6.94
     1.00    -8.00  1189.13    73.57    71.48     4.00     0.49     1.40  -126.79    10.54     5.56     5.70
     2.00    -8.00   988.22    55.46    62.18     5.44    -0.53     1.40  -110.99     6.60    -1.37     5.18
     3.00    -8.00   827.66    61.91    54.20     8.73    -1.10     1.40   -95.61     5.56    -4.57     5.90
   -10.00    -7.00  1620.45   295.90   132.47    42.86     2.46     1.40  -180.23    10.48    -2.01     5.22
    -9.00    -7.00  1617.98   262.07    98.12    19.21     2.87     1.40  -178.47    13.64     0.94     5.93
    -8.00    -7.00  2204.51   457.67    94.17    13.21     4.28     1.40  -215.35     9.57    34.19    14.66
    -7.00    -7.00  1971.46   376.28    67.01    11.29     3.37     1.40  -217.33    13.59     7.89    24.03
    -6.00    -7.00  1939.43   331.49    46.33     4.37     3.01     1.40  -210.86    11.52     6.30    23.65
    -5.00    -7.00  2036.70   366.01    58.81     9.31     4.04     1.40  -220.66    23.98     8.73     4.65
    -4.00    -7.00  2617.90   458.59    60.38    11.28     5.69     1.40  -265.80    17.56    32.71    15.08
    -3.00    -7.00  3016.79   460.08    95.68    18.68     7.09     1.40  -285.06    25.29    49.53    12.15
    -2.00    -7.00  2711.20   549.00    77.94    15.28     6.22     1.40  -239.77    22.97    59.67    28.79
    -1.00    -7.00  1822.41   230.98    81.65     7.76     2.40     1.40  -195.24    16.50     4.71    19.86
     0.00    -7.00  1560.55   107.85    82.95     4.00     0.34     1.40  -169.30     6.22     6.51     6.89
     1.00    -7.00  1284.70    96.52    74.37     4.00    -1.50     1.40  -148.38    11.96    -7.28     6.01
     2.00    -7.00  1043.61    66.08    59.37     5.25    -2.62     1.40  -126.57     7.70   -11.50     2.07
     3.00    -7.00   840.21    61.20    40.96     6.24    -3.03     1.40   -99.76     7.79    -7.76     4.05
   -10.00    -6.00  1792.97   258.63   110.20    41.34     1.83     1.40  -198.00     9.30     4.27    11.63
    -9.00    -6.00  2048.27   442.74    98.72    32.45     2.77     1.40  -216.51    19.00    18.90    23.45
    -8.00    -6.00  2286.97   474.90    61.26    15.48     3.66     1.40  -211.44     9.27    42.19    11.76
    -7.00    -6.00  1622.60   271.84    56.39     6.07     1.52     1.40  -196.53     8.14   -12.35    23.97
    -6.00    -6.00  1736.46   376.68    63.93    11.43     1.38     1.40  -220.64    14.06   -14.70    27.39
    -5.00    -6.00  2131.92   379.10    94.30    39.15     3.24     1.40  -223.71    20.60    10.09    11.78
    -4.00    -6.00  2614.34   520.58   148.23    28.67     4.99     1.40  -268.46    23.30    25.06    24.54
    -3.00    -6.00  2989.77   379.29   104.06    22.61     5.78     1.40  -292.62    18.37    42.08    11.31
    -2.00    -6.00  2596.21   429.39    76.26    11.73     5.02     1.40  -234.07    15.89    53.28    14.17
    -1.00    -6.00  1718.45   294.70    84.47    22.33     1.17     1.40  -196.97    12.46    -6.68    17.89
     0.00    -6.00  1418.07   131.88    95.27     5.28    -1.39     1.40  -168.17     8.71   -14.07     9.09
     1.00    -6.00  1235.09    86.25    77.62     5.25    -2.70     1.40  -142.55    12.07    -7.24     5.62
     2.00    -6.00  1032.06    74.89    62.95     4.26    -3.65     1.40  -120.31     8.09    -4.39     3.17
     3.00    -6.00   830.50    57.64    48.20     4.48    -4.29     1.40   -96.52     5.44    -4.51     4.50
   -10.00    -5.00  1634.24   385.83    82.50    27.84     0.81     1.40  -194.14    18.74    -2.64    12.56
    -9.00    -5.00  2158.42   371.67    93.51    14.44     2.16     1.40  -214.60    15.88    27.35    12.62
    -8.00    -5.00  1810.03   404.73    59.99    10.96     1.15     1.40  -204.26     5.83    -4.79    31.97
    -7.00    -5.00  1552.03   269.13    58.66     4.00     0.46     1.40  -193.32     7.11   -17.87    14.74
    -6.00    -5.00  1809.55   346.20    67.79     7.79     1.34     1.40  -198.34    15.00     8.20    23.54
    -5.00    -5.00  2276.16   440.63   108.43    44.93     1.96     1.40  -245.54    20.81     9.47    25.64
    -4.00    -5.00  2859.62   595.98   108.30    37.38     3.55     1.48  -284.68    20.36    32.56    39.76
    -3.00    -5.00  2864.89   433.35   100.51     7.10     4.21     1.40  -276.47    21.20    40.01    23.41
    -2.00    -5.00  2587.29   381.26    90.74    20.16     3.66     1.40  -242.69    12.28    41.98    21.60
    -1.00    -5.00  1895.06   302.56   129.71    28.83     0.94     1.40  -204.50    18.04     8.31    22.06
     0.00    -5.00  1517.95   173.32    71.38    15.60    -1.41     1.40  -164.71     9.18     6.07    13.59
     1.00    -5.00  1260.05   113.70    59.34     6.91    -3.48     1.40  -139.83    10.29    -1.99     3.98
     2.00    -5.00   979.89    56.96    56.95     4.19    -5.27     1.40  -119.16     3.97   -15.08     3.30
     3.00    -5.00   825.56    57.74    48.63     4.00    -5.89     1.40   -97.84     8.59   -10.26     6.05
   -10.00    -4.00  1444.25   365.24    86.71     7.19     0.38     1.40  -154.15     9.76     8.31    10.58
    -9.00    -4.00  1772.87   403.76    84.35     8.71     1.25     1.40  -179.50     9.34    17.69     8.82
    -8.00    -4.00  1656.21   233.44    51.95    11.46     0.22     1.40  -197.59     3.66   -14.01    17.88
    -7.00    -4.00  1902.00   182.86    60.63     4.66     1.40     1.40  -186.40     3.43    27.30    16.02
    -6.00    -4.00  1872.99   283.88    61.55     5.35     1.50     1.40  -188.40     7.38    23.80    24.20
    -5.00    -4.00  1789.88   223.36    59.79     6.52     0.25     1.40  -221.36    10.69   -12.68    17.60
    -4.00    -4.00  2050.35   131.91    73.66    13.62     0.47     1.40  -240.02     8.81   -12.52    17.56
    -3.00    -4.00  2448.52   347.93   105.51    21.09     2.28     1.40  -250.47     5.54    25.81    15.18
    -2.00    -4.00  2593.88   380.25   117.76    38.58     2.74     1.40  -244.78    12.69    46.99    13.79
    -1.00    -4.00  2027.25   208.10    95.14    17.02     1.15     1.40  -193.08    20.43    32.84     9.32
     0.00    -4.00  1666.65   197.75    54.38     7.97    -1.24     1.40  -161.15     9.60    25.45    19.92
     1.00    -4.00  1244.54    84.37    44.09     4.00    -4.58     1.40  -144.63     7.77    -8.47     6.58
     2.00    -4.00   983.50    69.72    43.68     4.00    -6.82     1.40  -128.53     6.25   -23.49     3.83
     3.00    -4.00   812.73    62.96    40.66     4.00    -7.77     1.40  -109.91     9.26   -24.17     6.78
   -10.00    -3.00  1458.24   309.33    84.02    10.91    -0.61     1.40  -160.65    11.21     7.54     6.31
