      Lon     Lat Rayleigh Uncert m/s
                     8.00    8.00   10.00   10.00   12.00   12.00   14.00   14.00   16.00   16.00   18.00   18.00   20.00   20.00   22.00   22.00   24.00   24.00   28.00   28.00   32.00   32.00   36.00   36.00   40.00   40.00   50.00   50.00   60.00   60.00   70.00   70.00   80.00   80.00  100.00  100.00  125.00  125.00  150.00  150.00
   -10.00  -10.00 3126.10   10.00 3214.90   10.00 3266.20   10.00 3313.60   10.00 3365.10   10.00 3415.40   10.00 3455.30   10.00 3484.00   10.00 3508.00   10.00 3560.80   16.70 3601.60   14.40 3617.90   15.30 3662.10   14.20 3702.30   15.40 3728.90   20.40 3820.80   26.50 3852.50   28.00 3959.00   43.80 4078.00   54.80 4245.40   68.20
    -9.00  -10.00 3047.00   10.00 3118.00   10.00 3185.50   10.00 3243.10   10.00 3310.40   10.00 3373.80   10.00 3432.60   10.00 3482.90   10.00 3526.80   10.00 3579.80   12.60 3637.40   10.70 3675.10   10.80 3707.40   10.00 3781.60   11.60 3829.80   15.00 3880.90   22.80 3906.60   24.40 3977.00   39.30 4054.10   52.00 4217.80   66.10
    -8.00  -10.00 3040.80   12.60 3096.50   10.00 3160.40   10.00 3223.80   10.00 3286.80   10.00 3344.60   10.00 3399.60   10.00 3453.30   10.00 3501.50   10.00 3575.80   12.50 3643.50   12.80 3701.20   11.50 3757.70   12.00 3836.80   12.60 3888.20   18.80 3945.50   24.00 3992.50   26.50 4067.20   36.20 4122.80   48.60 4208.20   63.60
    -7.00  -10.00 2905.70   14.00 3045.20   10.00 3126.70   10.00 3191.90   10.00 3244.00   10.00 3302.80   10.00 3362.30   10.00 3417.90   10.00 3473.40   10.00 3585.40   13.20 3687.70   11.90 3765.60   12.10 3824.40   13.00 3889.10   14.20 3945.10   17.20 3978.30   23.10 4003.30   25.20 4070.30   35.50 4149.00   47.70 4253.30   62.10
    -6.00  -10.00 2896.30   18.20 2998.40   11.40 3096.00   10.00 3159.00   10.00 3230.90   10.00 3296.10   10.00 3357.70   10.00 3418.40   10.00 3479.40   10.00 3612.10   14.90 3717.20   12.00 3799.90   12.00 3881.80   11.60 3947.60   14.80 3994.10   14.40 4031.70   21.10 4073.80   25.40 4088.10   34.60 4179.00   47.70 4304.20   62.50
    -5.00  -10.00 2884.80   23.60 3023.90   13.80 3133.70   11.80 3200.70   10.00 3277.20   10.00 3341.40   10.00 3400.40   10.00 3461.40   10.00 3516.70   10.00 3620.40   24.70 3728.10   17.10 3802.90   12.80 3872.30   13.60 3983.00   14.20 4045.20   17.60 4055.30   22.30 4094.40   25.10 4104.60   34.70 4197.90   47.90 4309.10   62.90
    -4.00  -10.00 2912.80   26.40 3051.00   19.20 3145.80   12.80 3215.70   11.80 3259.90   10.00 3317.80   10.00 3370.30   10.00 3420.40   10.00 3473.50   10.00 3591.70   19.40 3702.90   19.40 3779.40   13.70 3838.50   19.80 3956.10   15.20 4013.50   21.40 4022.20   23.70 4083.80   28.40 4095.80   34.90 4174.10   47.40 4291.20   61.80
    -3.00  -10.00 3117.90   26.40 3207.80   16.40 3242.90   11.20 3287.40   10.20 3336.70   10.00 3405.50   10.00 3455.20   10.00 3496.40   10.00 3540.30   10.00 3632.10   23.20 3725.80   15.00 3791.90   16.10 3855.90   14.60 3951.10   18.40 3992.00   20.80 3982.20   26.00 4030.90   26.70 4086.80   34.90 4163.00   46.90 4295.90   61.80
    -2.00  -10.00 3200.90   20.40 3271.00   12.80 3318.50   13.00 3370.50   11.00 3408.40   10.00 3472.60   10.00 3527.70   10.00 3582.10   10.00 3626.70   10.00 3703.40   17.70 3780.10   13.20 3833.50   14.10 3895.70   14.20 3979.40   13.40 4006.30   15.80 4018.10   21.10 4037.60   24.90 4093.10   34.70 4152.70   46.90 4274.30   62.10
    -1.00  -10.00 3155.10   12.20 3214.40   10.00 3254.90   10.00 3305.60   10.00 3344.10   10.00 3398.30   10.00 3454.10   10.00 3505.30   10.00 3553.80   10.00 3657.60   17.10 3750.10   18.20 3823.20   13.20 3869.00   18.20 3945.30   11.80 3987.10   15.60 3992.20   25.00 4020.60   26.00 4072.70   35.00 4145.90   46.70 4253.40   61.60
