      Lon      Lat     thick1     Vp/Vs1      Dens1     thick2     Vp/Vs2      Dens2     thick3     Vp/Vs3      Dens3
      deg      deg          m          1      kg/m3          m          1      kg/m3          m          1      kg/m3
   -10.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -5.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -4.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -3.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -2.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -1.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     0.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     1.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     2.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
     3.00   -10.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
   -10.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -9.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -8.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -7.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
    -6.00    -9.00       0.00       1.65    2000.00    7500.00       1.65    2400.00    5000.00       1.65    2650.00
