      Lon      Lat     thick1     Vp/Vs1      Dens1     thick2     Vp/Vs2      Dens2     thick3     Vp/Vs3      Dens3
      deg      deg          m          1      kg/m3          m          1      kg/m3          m          1      kg/m3
        0        0         21         21         21         21         21         21         21         21         21
   -10.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -5.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -4.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -3.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -2.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -1.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     0.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     1.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     2.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
     3.00   -10.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
   -10.00    -9.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -9.00    -9.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -8.00    -9.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -7.00    -9.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
    -6.00    -9.00     100.00       0.05     100.00     100.00       0.05     100.00     100.00       0.05     100.00
