Lon Lat Tbuf Tinterm Tbottom 1 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-10.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 92.937 300.00 4.400 9.200 55.000 5.500 92.937
-9.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.996 300.00 4.400 9.200 55.000 5.500 93.996
-8.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.299 300.00 4.400 9.200 55.000 5.500 94.299
-7.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.448 300.00 4.400 9.200 55.000 5.500 93.448
-6.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.603 300.00 4.400 9.200 55.000 5.500 93.603
-5.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.403 300.00 4.400 9.200 55.000 5.500 94.403
-4.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.886 300.00 4.400 9.200 55.000 5.500 93.886
-3.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.076 300.00 4.400 9.200 55.000 5.500 94.076
-2.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.703 300.00 4.400 9.200 55.000 5.500 94.703
-1.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.812 300.00 4.400 9.200 55.000 5.500 93.812
0.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 92.783 300.00 4.400 9.200 55.000 5.500 92.783
1.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.062 300.00 4.400 9.200 55.000 5.500 93.062
2.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.699 300.00 4.400 9.200 55.000 5.500 93.699
3.00 -10.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.501 300.00 4.400 9.200 55.000 5.500 93.501
-10.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.686 300.00 4.400 9.200 55.000 5.500 93.686
-9.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.568 300.00 4.400 9.200 55.000 5.500 94.568
-8.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.740 300.00 4.400 9.200 55.000 5.500 93.740
-7.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.180 300.00 4.400 9.200 55.000 5.500 94.180
-6.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 94.263 300.00 4.400 9.200 55.000 5.500 94.263
-5.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.944 300.00 4.400 9.200 55.000 5.500 93.944
-4.00 -9.00 1500.00 1570.00 1650.00 1 4.400 9.200 55.000 5.500 93.386 300.00 4.400 9.200 55.000 5.500 93.386
