Lon Lat Tbuf Tinterm Tbottom 0.92 Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 0.92 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
-10.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.937 50.00 0.500 6.000 34.000 0.100 84.937
-9.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.996 50.00 0.500 6.000 34.000 0.100 85.996
-8.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.299 50.00 0.500 6.000 34.000 0.100 86.299
-7.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.448 50.00 0.500 6.000 34.000 0.100 85.448
-6.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.603 50.00 0.500 6.000 34.000 0.100 85.603
-5.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.403 50.00 0.500 6.000 34.000 0.100 86.403
-4.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.886 50.00 0.500 6.000 34.000 0.100 85.886
-3.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.076 50.00 0.500 6.000 34.000 0.100 86.076
-2.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.703 50.00 0.500 6.000 34.000 0.100 86.703
-1.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.812 50.00 0.500 6.000 34.000 0.100 85.812
0.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.783 50.00 0.500 6.000 34.000 0.100 84.783
1.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.062 50.00 0.500 6.000 34.000 0.100 85.062
2.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.699 50.00 0.500 6.000 34.000 0.100 85.699
3.00 -10.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.501 50.00 0.500 6.000 34.000 0.100 85.501
-10.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.686 50.00 0.500 6.000 34.000 0.100 85.686
-9.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.568 50.00 0.500 6.000 34.000 0.100 86.568
-8.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.740 50.00 0.500 6.000 34.000 0.100 85.740
-7.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.180 50.00 0.500 6.000 34.000 0.100 86.180
-6.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.263 50.00 0.500 6.000 34.000 0.100 86.263
-5.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.944 50.00 0.500 6.000 34.000 0.100 85.944
-4.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.386 50.00 0.500 6.000 34.000 0.100 85.386
-3.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.866 50.00 0.500 6.000 34.000 0.100 85.866
-2.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.680 50.00 0.500 6.000 34.000 0.100 85.680
-1.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.229 50.00 0.500 6.000 34.000 0.100 85.229
0.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.888 50.00 0.500 6.000 34.000 0.100 85.888
1.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.636 50.00 0.500 6.000 34.000 0.100 85.636
2.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.629 50.00 0.500 6.000 34.000 0.100 85.629
3.00 -9.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.086 50.00 0.500 6.000 34.000 0.100 86.086
-10.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.868 50.00 0.500 6.000 34.000 0.100 84.868
-9.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.433 50.00 0.500 6.000 34.000 0.100 85.433
-8.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.332 50.00 0.500 6.000 34.000 0.100 86.332
-7.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.597 50.00 0.500 6.000 34.000 0.100 86.597
-6.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.017 50.00 0.500 6.000 34.000 0.100 86.017
-5.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.993 50.00 0.500 6.000 34.000 0.100 84.993
-4.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.741 50.00 0.500 6.000 34.000 0.100 85.741
-3.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.922 50.00 0.500 6.000 34.000 0.100 85.922
-2.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.187 50.00 0.500 6.000 34.000 0.100 86.187
-1.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.431 50.00 0.500 6.000 34.000 0.100 85.431
0.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 84.970 50.00 0.500 6.000 34.000 0.100 84.970
1.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.123 50.00 0.500 6.000 34.000 0.100 86.123
2.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.360 50.00 0.500 6.000 34.000 0.100 86.360
3.00 -8.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.407 50.00 0.500 6.000 34.000 0.100 85.407
-10.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.586 50.00 0.500 6.000 34.000 0.100 85.586
-9.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.010 50.00 0.500 6.000 34.000 0.100 85.010
-8.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.718 50.00 0.500 6.000 34.000 0.100 85.718
-7.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.286 50.00 0.500 6.000 34.000 0.100 86.286
-6.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.996 50.00 0.500 6.000 34.000 0.100 85.996
-5.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.240 50.00 0.500 6.000 34.000 0.100 85.240
-4.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.625 50.00 0.500 6.000 34.000 0.100 86.625
-3.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.665 50.00 0.500 6.000 34.000 0.100 86.665
-2.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.189 50.00 0.500 6.000 34.000 0.100 86.189
-1.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 86.025 50.00 0.500 6.000 34.000 0.100 86.025
0.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.168 50.00 0.500 6.000 34.000 0.100 85.168
1.00 -7.00 1230.00 1300.00 1430.00 0.92 0.500 6.000 34.000 0.100 85.648 50.00 0.500 6.000 34.000 0.100 85.648
