Lon Lat Tbuf Tinterm Tbottom Csubmoho Al_L Fe_L Mg_L Ca_L #Mg_L LAB Al_SL Fe_SL Mg_SL Ca_SL #Mg_SL
deg deg degC degC degC 1 wt% wt% wt% wt% 1 km wt% wt% wt% wt% 1
0 0 21 21 21 0 21 1 1 1 1 21 21 1 1 1 1
-10.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-9.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-8.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-7.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-6.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-5.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-4.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-3.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-2.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
-1.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
0.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
1.00 -10.00 20.00 20.00 20.00 0.02 0.250 0.160 0.350 0.250 0.150 5.00 0.250 0.160 0.350 0.250 0.150
