ak135: layer thickness [km], rho [g/cm3], Vp [km/s], Vs [km/s], Qs^-1, depth [km] (not read, just for visual control)
01.00 3.9317    9.3601    5.0806 0.0000000001411
50.00 3.9273    9.5280    5.1864 0.0000000001
50.00 3.9233    9.6962    5.2922 0.0000000001
50.00 3.9218    9.8640    5.3989 0.0000000001
50.00 3.9206   10.0320    5.5047 0.0000000001611
49.00 3.9201   10.2000    5.6104 0.0000000001660
01.00 4.2387   10.7909    5.9607 0.0000000001661
50.00 4.2986   10.9222    6.0898 0.0000000001
50.00 4.3565   11.0553    6.2100 0.0000000001
50.00 4.4118   11.1355    6.2424 0.0000000001
50.00 4.4650   11.2228    6.2799 0.0000000001

