      Lon      Lat     thick1        Vs1        Vp1      Dens1       RHP1     thick2        Vs2        Vp2      Dens2       RHP2     thick3        Vs3        Vp3      Dens3       RHP3
      deg      deg          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3          m        m/s        m/s      kg/m3      uW/m3
   -10.00   -10.00     343.00    2045.00    3590.00    2312.00       1.00   13089.00    3354.00    5674.00    2721.00       1.00   26688.91    3723.00    6909.00    2989.00       0.50
    -9.00   -10.00     781.00    2421.00    4428.00    2457.00       1.00   14951.00    3331.00    5517.00    2707.00       1.00   23154.01    3756.00    6864.00    2977.00       0.50
    -8.00   -10.00    2587.00    2803.00    5662.00    2680.00       1.00   14273.00    3267.00    6177.00    2791.00       1.00   25240.33    3711.00    6879.00    2981.00       0.50
    -7.00   -10.00    3859.00    1803.00    3051.00    2214.00       1.00   25362.00    3801.00    6281.00    2816.00       1.00   16628.56    3785.00    6701.00    2921.00       0.50
    -6.00   -10.00    2579.00    1290.00    2514.00    2108.00       1.00   25445.00    3596.00    6245.00    2806.00       1.00   21943.20    3882.00    7192.00    3067.00       0.50
    -5.00   -10.00    2151.00    1131.00    2483.00    2101.00       1.00   19146.00    3507.00    6291.00    2812.00       1.00   30912.14    3840.00    7242.00    3078.00       0.50
    -4.00   -10.00    1302.00    1228.00    2583.00    2123.00       1.00   18497.00    3388.00    6040.00    2759.00       1.00   32133.24    3784.00    7119.00    3037.00       0.50
    -3.00   -10.00     880.00    2895.00    5367.00    2623.00       1.00   19683.00    3424.00    5894.00    2757.00       1.00   32064.32    3849.00    7109.00    3033.00       0.50
    -2.00   -10.00    1106.00    2758.00    5003.00    2557.00       1.00   19155.00    3548.00    5955.00    2809.00       1.00   30042.49    3936.00    6970.00    2989.00       0.50
    -1.00   -10.00    2136.00    2005.00    3851.00    2358.00       1.00   26412.00    3645.00    6300.00    2816.00       1.00   25154.63    3973.00    7340.00    3122.00       0.50
     0.00   -10.00    1930.00    1728.00    2997.00    2205.00       1.00   27797.00    3680.00    6246.00    2805.00       1.00   20506.86    3987.00    7345.00    3125.00       0.50
     1.00   -10.00    1609.00    1400.00    2681.00    2143.00       1.00   28249.00    3741.00    6261.00    2808.00       1.00   19426.60    3958.00    7313.00    3111.00       0.50
     2.00   -10.00    1518.00    1342.00    2747.00    2157.00       1.00   18479.00    3668.00    6139.00    2778.00       1.00   29381.10    3831.00    7241.00    3079.00       0.50
