Lon	Lat	RHP	Tbuf	Tinterm	Tbottom	Csubmoho	Al_01	Fe_01	Mg_01	Ca_01	LAB	Al_02	Fe_02	Mg_02	Ca_02
deg	deg	nW/m3	degC	degC	degC	1	wt%	wt%	wt%	wt%	km	wt%	wt%	wt%	wt%
-10.00	-10.00	20.00	1410.00	1470	1510	1	3.07	8.67	39.10	2.76	56	4.024	8.142	39.83	3.732
-9.00	-10.00	20.00	1410.00	1470	1510	1	2.55	7.88	39.78	1.86	58	3.972	8.27	39.952	3.614
-8.00	-10.00	20.00	1410.00	1470	1510	1	2.61	8.13	42.61	2.53	58	4.126	8.3	39.702	3.492
-7.00	-10.00	20.00	1410.00	1470	1510	1	3.00	8.43	40.09	2.94	152	4.018	8.284	38.276	3.374
-6.00	-10.00	20.00	1410.00	1470	1510	1	2.88	7.98	38.62	2.09	214	3.976	8.2	37.734	3.618
-5.00	-10.00	20.00	1410.00	1470	1510	1	2.26	7.80	41.21	1.65	212	3.982	8.586	38.094	3.46
-4.00	-10.00	20.00	1410.00	1470	1510	1	2.86	7.85	39.10	2.26	210	4.05	8.404	38.104	3.438
-3.00	-10.00	20.00	1410.00	1470	1510	1	3.32	7.49	38.11	2.97	186	4.064	8.48	38.388	3.27
-2.00	-10.00	20.00	1410.00	1470	1510	1	2.69	7.21	39.48	2.01	180	4.08	8.534	37.988	3.422
-1.00	-10.00	20.00	1410.00	1470	1510	1	3.34	7.68	38.06	2.48	204	4.096	8.308	37.984	3.7
0.00	-10.00	20.00	1410.00	1470	1510	1	2.86	8.82	39.24	2.74	202	3.986	8.25	38.402	3.306
1.00	-10.00	20.00	1410.00	1470	1510	1	3.21	8.36	38.19	2.32	226	3.996	8.204	38.654	3.34
2.00	-10.00	20.00	1410.00	1470	1510	1	2.32	8.30	40.34	1.61	196	3.9	8.694	38.954	3.076
3.00	-10.00	20.00	1410.00	1470	1510	1	2.82	8.15	38.95	2.51	206	4.014	8.408	39.132	3.498
-10.00	-9.00	20.00	1410.00	1470	1510	1	2.59	8.15	39.77	2.03	58	3.974	8.224	39.926	3.684
-9.00	-9.00	20.00	1410.00	1470	1510	1	2.74	7.68	41.47	2.05	58	3.828	8.592	39.564	3.58
-8.00	-9.00	20.00	1410.00	1470	1510	1	3.73	8.28	40.70	3.85	116	4.176	8.294	39.276	3.46
-7.00	-9.00	20.00	1410.00	1470	1510	1	2.48	7.84	40.41	1.78	212	4.1	8.354	38.238	3.56
-6.00	-9.00	20.00	1410.00	1470	1510	1	2.38	7.75	40.22	1.60	190	4.1	8.458	38.122	3.492
-5.00	-9.00	20.00	1410.00	1470	1510	1	2.54	7.89	39.60	1.76	198	4.032	8.57	38.56	3.218
-4.00	-9.00	20.00	1410.00	1470	1510	1	2.81	8.35	39.46	2.41	194	3.948	8.378	38.446	3.422
-3.00	-9.00	20.00	1410.00	1470	1510	1	2.93	8.05	40.08	2.69	150	4.02	8.402	38.506	3.49
-2.00	-9.00	20.00	1410.00	1470	1510	1	3.00	8.00	39.01	2.22	156	4.082	8.312	37.772	3.492
-1.00	-9.00	20.00	1410.00	1470	1510	1	3.38	8.11	37.83	2.35	196	4.004	8.326	37.878	3.51
0.00	-9.00	20.00	1410.00	1470	1510	1	3.00	7.75	38.60	1.99	166	3.996	8.506	38.876	3.456
1.00	-9.00	20.00	1410.00	1470	1510	1	3.08	7.91	38.32	2.22	210	3.912	8.43	39.018	3.352
2.00	-9.00	20.00	1410.00	1470	1510	1	2.97	7.99	38.69	2.21	208	3.942	8.43	38.494	3.306
3.00	-9.00	20.00	1410.00	1470	1510	1	2.86	7.70	39.21	2.10	214	4.01	8.482	38.218	3.322
-10.00	-8.00	20.00	1410.00	1470	1510	1	2.91	8.67	38.83	2.85	54	4.096	8.078	39.752	3.936
-9.00	-8.00	20.00	1410.00	1470	1510	1	2.80	8.46	40.13	2.39	58	3.966	8.392	39.698	3.624
-8.00	-8.00	20.00	1410.00	1470	1510	1	2.45	7.80	40.94	1.91	68	4.108	8.312	39.51	3.494
-7.00	-8.00	20.00	1410.00	1470	1510	1	2.07	8.03	43.48	1.92	94	4.184	8.376	38.334	3.378
-6.00	-8.00	20.00	1410.00	1470	1510	1	3.07	8.04	40.70	2.67	142	4.202	8.41	38.708	3.688
-5.00	-8.00	20.00	1410.00	1470	1510	1	3.54	8.48	38.19	3.19	210	3.966	8.218	39.04	3.512
-4.00	-8.00	20.00	1410.00	1470	1510	1	3.22	8.35	40.96	2.94	160	4.086	8.516	38.77	3.588
-3.00	-8.00	20.00	1410.00	1470	1510	1	2.83	8.50	42.40	2.97	94	4.068	8.462	37.736	3.646
-2.00	-8.00	20.00	1410.00	1470	1510	1	2.98	7.77	40.06	2.63	136	4.098	8.49	37.344	3.392
-1.00	-8.00	20.00	1410.00	1470	1510	1	3.04	8.15	38.69	2.25	148	3.962	8.636	38.982	3.108
0.00	-8.00	20.00	1410.00	1470	1510	1	3.29	8.38	37.92	2.54	228	4.022	8.014	38.454	3.4
1.00	-8.00	20.00	1410.00	1470	1510	1	3.19	7.48	38.29	2.15	186	4.13	8.328	37.838	3.666
2.00	-8.00	20.00	1410.00	1470	1510	1	3.04	7.34	38.65	2.19	204	4.012	8.528	38.134	3.658
3.00	-8.00	20.00	1410.00	1470	1510	1	3.10	8.15	38.59	2.62	218	3.914	8.448	38.376	3.314
-10.00	-7.00	20.00	1410.00	1470	1510	1	2.94	8.25	39.69	2.87	54	4.14	8.036	39.786	3.962
-9.00	-7.00	20.00	1410.00	1470	1510	1	3.49	8.28	37.53	3.16	54	3.948	8.366	39.692	3.688
-8.00	-7.00	20.00	1410.00	1470	1510	1	2.65	8.22	40.16	2.22	56	3.874	8.612	39.828	3.598
-7.00	-7.00	20.00	1410.00	1470	1510	1	3.16	7.90	41.38	3.24	120	4.204	8.398	39.304	3.688
-6.00	-7.00	20.00	1410.00	1470	1510	1	2.67	8.31	41.97	2.27	138	4.066	8.532	38.638	3.534
-5.00	-7.00	20.00	1410.00	1470	1510	1	3.28	8.73	40.65	3.10	174	4.136	8.294	38.572	3.488
-4.00	-7.00	20.00	1410.00	1470	1510	1	1.99	8.07	43.70	1.47	70	4.104	8.39	39.52	3.626
-3.00	-7.00	20.00	1410.00	1470	1510	1	1.82	8.12	44.21	1.87	82	4.076	8.52	37.492	3.506
-2.00	-7.00	20.00	1410.00	1470	1510	1	3.22	7.85	40.44	2.70	120	4.156	8.528	38.638	3.414
-1.00	-7.00	20.00	1410.00	1470	1510	1	2.98	8.07	40.86	2.65	134	4.028	8.532	38.484	3.38
0.00	-7.00	20.00	1410.00	1470	1510	1	2.82	8.45	39.07	2.17	178	3.94	8.516	38.022	3.536
1.00	-7.00	20.00	1410.00	1470	1510	1	2.77	8.23	40.09	2.42	196	3.974	8.606	38.742	3.138
2.00	-7.00	20.00	1410.00	1470	1510	1	2.80	7.78	38.97	2.26	180	4.056	8.584	38.57	3.388
3.00	-7.00	20.00	1410.00	1470	1510	1	2.06	8.59	41.12	1.70	200	4.12	8.458	38.412	3.518
-10.00	-6.00	20.00	1410.00	1470	1510	1	3.07	8.34	39.36	2.80	60	4.028	8.234	39.908	3.828
-9.00	-6.00	20.00	1410.00	1470	1510	1	2.77	8.65	39.28	2.42	54	3.912	8.306	39.902	3.732
-8.00	-6.00	20.00	1410.00	1470	1510	1	2.53	8.35	40.45	2.14	60	4.094	8.364	39.364	3.796
-7.00	-6.00	20.00	1410.00	1470	1510	1	3.63	7.85	40.61	3.76	126	4.13	8.414	38.622	3.872
-6.00	-6.00	20.00	1410.00	1470	1510	1	3.07	7.89	40.68	2.98	130	4.182	8.518	38.7	3.364
-5.00	-6.00	20.00	1410.00	1470	1510	1	3.13	8.43	39.68	2.48	158	3.992	8.524	38.02	3.562
-4.00	-6.00	20.00	1410.00	1470	1510	1	2.13	7.84	42.41	1.90	58	3.976	8.478	39.31	3.728
-3.00	-6.00	20.00	1410.00	1470	1510	1	1.84	7.37	43.95	1.32	70	4.162	8.206	39.732	3.408
-2.00	-6.00	20.00	1410.00	1470	1510	1	1.53	7.87	44.58	0.89	70	4.164	8.384	39.52	3.706
-1.00	-6.00	20.00	1410.00	1470	1510	1	3.50	7.37	40.52	3.34	138	4.164	8.612	38.24	3.3
0.00	-6.00	20.00	1410.00	1470	1510	1	3.55	8.22	40.61	3.16	140	4.128	8.426	38.306	3.574
1.00	-6.00	20.00	1410.00	1470	1510	1	3.53	7.93	38.88	3.04	154	4.106	8.464	38.264	3.414
2.00	-6.00	20.00	1410.00	1470	1510	1	2.98	7.59	38.64	2.15	200	4.1	8.614	38.88	3.746
3.00	-6.00	20.00	1410.00	1470	1510	1	3.13	8.10	38.56	2.38	212	4.08	8.218	38.948	3.438
-10.00	-5.00	20.00	1410.00	1470	1510	1	2.66	7.90	39.84	2.13	60	3.892	8.394	39.354	3.564
-9.00	-5.00	20.00	1410.00	1470	1510	1	2.32	7.80	41.71	1.92	64	4.014	8.422	39.524	3.594
-8.00	-5.00	20.00	1410.00	1470	1510	1	2.56	7.24	42.32	2.04	70	4.154	8.414	40.082	3.944
-7.00	-5.00	20.00	1410.00	1470	1510	1	2.53	7.51	42.36	2.20	70	4.188	8.384	39.798	3.872
-6.00	-5.00	20.00	1410.00	1470	1510	1	2.52	8.31	42.92	2.58	116	3.912	8.662	38.902	3.488
-5.00	-5.00	20.00	1410.00	1470	1510	1	3.11	8.71	41.87	3.24	106	4.188	8.49	39.154	3.754
-4.00	-5.00	20.00	1410.00	1470	1510	1	2.00	7.90	43.06	1.75	68	4.138	8.432	39.422	3.498
-3.00	-5.00	20.00	1410.00	1470	1510	1	2.77	7.91	40.84	2.39	68	3.988	8.554	39.734	3.704
-2.00	-5.00	20.00	1410.00	1470	1510	1	2.29	7.98	42.06	1.76	62	3.894	8.672	39.736	3.442
-1.00	-5.00	20.00	1410.00	1470	1510	1	2.87	7.28	41.06	2.63	70	4.184	8.41	39.544	4.008
0.00	-5.00	20.00	1410.00	1470	1510	1	3.09	7.58	41.61	2.75	66	4.036	8.614	39.676	3.63
1.00	-5.00	20.00	1410.00	1470	1510	1	2.93	8.66	39.00	2.45	216	3.932	8.452	38.906	3.458
2.00	-5.00	20.00	1410.00	1470	1510	1	2.94	8.25	39.29	2.36	194	4.052	8.568	39.038	3.5
3.00	-5.00	20.00	1410.00	1470	1510	1	2.68	7.94	39.33	1.97	202	4.072	8.642	38.896	3.472
-10.00	-4.00	20.00	1410.00	1470	1510	1	3.06	8.31	39.27	2.40	60	3.966	8.29	39.902	3.764
-9.00	-4.00	20.00	1410.00	1470	1510	1	2.61	8.16	40.22	2.42	58	3.926	8.336	39.656	3.556
-8.00	-4.00	20.00	1410.00	1470	1510	1	1.59	7.83	43.82	1.40	70	4.038	8.372	39.276	3.652
-7.00	-4.00	20.00	1410.00	1470	1510	1	3.19	8.57	41.53	3.26	96	4.022	8.512	38.848	3.436
-6.00	-4.00	20.00	1410.00	1470	1510	1	3.53	8.42	40.66	3.25	120	4.036	8.606	38.674	3.188
-5.00	-4.00	20.00	1410.00	1470	1510	1	3.11	8.08	41.60	2.98	122	4.082	8.484	39.102	3.736
-4.00	-4.00	20.00	1410.00	1470	1510	1	2.99	8.37	41.14	2.67	106	4.018	8.448	38.728	3.472
-3.00	-4.00	20.00	1410.00	1470	1510	1	2.31	8.68	41.37	2.11	56	4.058	8.388	39.306	3.73
-2.00	-4.00	20.00	1410.00	1470	1510	1	2.08	8.65	41.67	1.95	60	4.058	8.378	39.34	3.58
-1.00	-4.00	20.00	1410.00	1470	1510	1	3.10	8.20	40.04	2.53	62	4.096	8.45	38.964	3.712
0.00	-4.00	20.00	1410.00	1470	1510	1	2.66	8.29	43.13	2.86	116	4.102	8.526	38.334	3.724
1.00	-4.00	20.00	1410.00	1470	1510	1	3.07	8.08	39.83	2.67	184	4.056	8.546	38.624	3.484
2.00	-4.00	20.00	1410.00	1470	1510	1	2.91	8.43	38.66	2.56	250	3.718	8.268	39.268	2.95
3.00	-4.00	20.00	1410.00	1470	1510	1	2.52	7.65	40.11	1.69	180	4.148	8.658	37.698	3.456
-10.00	-3.00	20.00	1410.00	1470	1510	1	2.76	8.46	39.55	2.39	70	3.944	8.404	40.038	3.726
-9.00	-3.00	20.00	1410.00	1470	1510	1	3.32	8.45	38.39	3.14	62	3.826	8.462	39.596	3.564
-8.00	-3.00	20.00	1410.00	1470	1510	1	2.19	8.53	42.00	1.84	70	4.16	8.146	39.442	3.766
